iter	RMSE
0	8.883535415
1	8.70928714
2	8.515340164
3	8.3548105
4	8.220896183
5	8.090485694
6	7.935663167
7	7.777574856
8	7.631876769
9	7.479283116
10	7.345139956
11	7.207087659
12	7.0711859
13	6.938384368
14	6.825947057
15	6.72242363
16	6.619613237
17	6.512314242
18	6.397834125
19	6.285663989
20	6.167411095
21	6.069674287
22	5.975672831
23	5.889239982
24	5.802025701
25	5.718993141
26	5.63830716
27	5.554459218
28	5.474337367
29	5.38006422
30	5.292508553
31	5.225112161
32	5.165417341
33	5.099328216
34	5.04558765
35	4.986345027
36	4.932085423
37	4.859855954
38	4.794853544
39	4.723737479
40	4.677677136
41	4.613244431
42	4.575565432
43	4.514274613
44	4.460558707
45	4.422706999
46	4.379103675
47	4.331484082
48	4.272033896
49	4.221307741
50	4.175067078
51	4.127864012
52	4.08774232
53	4.029792453
54	3.987051449
55	3.936681243
56	3.899234912
57	3.857278688
58	3.823492994
59	3.793106029
60	3.757847369
61	3.717008939
62	3.67525197
63	3.639365452
64	3.617044129
65	3.587436434
66	3.547626269
67	3.516083457
68	3.485775069
69	3.443715924
70	3.416050356
71	3.389332889
72	3.360198492
73	3.343825007
74	3.322659977
75	3.303596038
76	3.287049278
77	3.263302346
78	3.239200823
79	3.214819024
80	3.196119076
81	3.174160637
82	3.158427751
83	3.143484815
84	3.122426267
85	3.097652166
86	3.069227387
87	3.053230475
88	3.033005786
89	3.006432885
90	2.982522414
91	2.957840732
92	2.942261848
93	2.925969267
94	2.91062572
95	2.893086429
96	2.871092198
97	2.854883917
98	2.83596813
99	2.821978995
100	2.805108659
101	2.788699697
102	2.775894854
103	2.75255616
104	2.735233176
105	2.720521127
106	2.706649838
107	2.692366077
108	2.674342904
109	2.661776341
110	2.647767773
111	2.633692492
112	2.62228713
113	2.611141998
114	2.600150584
115	2.586865563
116	2.574726232
117	2.560002119
118	2.544479158
119	2.532778563
120	2.522755871
121	2.513906621
122	2.505566693
123	2.496925798
124	2.485458633
125	2.4749422
126	2.464165871
127	2.452025766
128	2.444161667
129	2.432988884
130	2.423941992
131	2.413033524
132	2.405390625
133	2.396818123
134	2.389838437
135	2.380706314
136	2.370952727
137	2.364110307
138	2.355927907
139	2.352180836
140	2.344533967
141	2.33638847
142	2.326150028
143	2.317614828
144	2.30879858
145	2.301871661
146	2.295752253
147	2.28783538
148	2.278068277
149	2.2721543
150	2.261919863
151	2.256567147
152	2.250546058
153	2.243356473
154	2.237280418
155	2.231860113
156	2.224886949
157	2.216535892
158	2.206671691
159	2.201593413
160	2.194368806
161	2.184273491
162	2.180126225
163	2.174137834
164	2.164509941
165	2.154885913
166	2.148720341
167	2.139941355
168	2.131381326
169	2.125357034
170	2.11916863
171	2.11232041
172	2.107440288
173	2.101284152
174	2.094231563
175	2.088628872
176	2.083239353
177	2.075981493
178	2.070550352
179	2.063984597
180	2.058762626
181	2.052672587
182	2.044637093
183	2.036909095
184	2.033061643
185	2.026916745
186	2.019643613
187	2.015197303
188	2.010651953
189	2.005508535
190	1.999617017
191	1.994471242
192	1.989159613
193	1.984029376
194	1.977583716
195	1.974838259
196	1.970529288
197	1.966857394
198	1.962079713
199	1.95644779
200	1.95334813
201	1.949684208
202	1.944998182
203	1.937559527
204	1.933927464
205	1.928845241
206	1.925810593
207	1.920963399
208	1.918641655
209	1.914303865
210	1.909197652
211	1.903392048
212	1.898218429
213	1.894140785
214	1.888974893
215	1.885186417
216	1.881787182
217	1.878117169
218	1.874343688
219	1.870050938
220	1.865546417
221	1.863447766
222	1.859559264
223	1.853806345
224	1.849897436
225	1.846150854
226	1.836221745
227	1.833064537
228	1.826478564
229	1.820251391
230	1.815670804
231	1.812095123
232	1.809352869
233	1.80625318
234	1.804143548
235	1.799605348
236	1.796213556
237	1.793866788
238	1.788957079
239	1.783942591
240	1.779034316
241	1.774806608
242	1.771658021
243	1.768541885
244	1.764147786
245	1.761521308
246	1.756962745
247	1.754369447
248	1.749065443
249	1.746414294
250	1.74150425
251	1.737401467
252	1.730777043
253	1.725468858
254	1.720920299
255	1.716918346
256	1.713350196
257	1.712052159
258	1.708414222
259	1.702576073
260	1.699931507
261	1.695839299
262	1.694045869
263	1.691981082
264	1.690472709
265	1.686907249
266	1.684940161
267	1.678764893
268	1.674027914
269	1.670678602
270	1.667509111
271	1.662284309
272	1.657500209
273	1.651145184
274	1.647877847
275	1.644719958
276	1.642447094
277	1.637624018
278	1.633675586
279	1.630441676
280	1.628790286
281	1.623993052
282	1.619000859
283	1.614361623
284	1.610317077
285	1.606168697
286	1.602302822
287	1.597486092
288	1.594007722
289	1.590101289
290	1.585522552
291	1.581146066
292	1.576521694
293	1.573408957
294	1.56954173
295	1.565978776
296	1.564135163
297	1.560899485
298	1.556667604
299	1.553941156
300	1.550897485
301	1.547364939
302	1.544682059
303	1.541215689
304	1.538490733
305	1.535359902
306	1.53123356
307	1.526115531
308	1.521039012
309	1.515890824
310	1.513561637
311	1.509911097
312	1.50672382
313	1.501214526
314	1.497808252
315	1.49297929
316	1.488806912
317	1.485054953
318	1.482774242
319	1.479068254
320	1.478257625
321	1.475290789
322	1.473561176
323	1.4721625
324	1.469751774
325	1.465416234
326	1.46264468
327	1.460176142
328	1.457688654
329	1.454578687
330	1.452032964
331	1.44942798
332	1.446446837
333	1.443638154
334	1.439744895
335	1.434873287
336	1.43136062
337	1.429110113
338	1.425147454
339	1.419316732
340	1.417641123
341	1.413476929
342	1.409899187
343	1.408595597
344	1.406019179
345	1.402336535
346	1.398307578
347	1.394218858
348	1.391077733
349	1.3898777
350	1.387164456
351	1.382706842
352	1.380670514
353	1.378211063
354	1.374478035
355	1.371203921
356	1.36812537
357	1.36505077
358	1.36243898
359	1.360670062
360	1.358788227
361	1.357559258
362	1.354339901
363	1.350323203
364	1.349589818
365	1.347019945
366	1.344880788
367	1.344016197
368	1.342064243
369	1.339272494
370	1.336804339
371	1.336137319
372	1.33302838
373	1.33109058
374	1.32858245
375	1.328145597
376	1.324190949
377	1.321086831
378	1.319511855
379	1.315925161
380	1.312843772
381	1.310198532
382	1.306797827
383	1.302182903
384	1.299866742
385	1.297205274
386	1.293826001
387	1.291909574
388	1.288952493
389	1.285169047
390	1.281825997
391	1.281093658
392	1.277859243
393	1.273936702
394	1.270984361
395	1.267684353
396	1.264517822
397	1.261524225
398	1.257079249
399	1.255253317
400	1.252233457
401	1.251282597
402	1.247245193
403	1.243218644
404	1.239652032
405	1.237723839
406	1.234685691
407	1.231884711
408	1.228576017
409	1.226161853
410	1.22340608
411	1.222085224
412	1.220136584
413	1.21699876
414	1.214190109
415	1.212733872
416	1.21219878
417	1.208614638
418	1.205087739
419	1.203913515
420	1.201470776
421	1.200289782
422	1.198526079
423	1.196779039
424	1.195339649
425	1.193647328
426	1.190881921
427	1.187886664
428	1.185074995
429	1.183286604
430	1.180103092
431	1.178584353
432	1.175938097
433	1.174768077
434	1.171882061
435	1.168890646
436	1.166887274
437	1.162689765
438	1.161040093
439	1.158154322
440	1.156379817
441	1.153984701
442	1.151420218
443	1.148771176
444	1.148564568
445	1.147074492
446	1.144316328
447	1.144114481
448	1.141401296
449	1.139564123
450	1.136283843
451	1.135208987
452	1.133980683
453	1.132898168
454	1.131812038
455	1.129850468
456	1.126914735
457	1.124322895
458	1.123742154
459	1.123465542
460	1.120386743
461	1.118247624
462	1.115618299
463	1.114637262
464	1.11058681
465	1.108699063
466	1.105939397
467	1.103767654
468	1.10007965
469	1.09727347
470	1.094777364
471	1.091816421
472	1.090714827
473	1.088292789
474	1.088116313
475	1.087710717
476	1.086756681
477	1.085787989
478	1.084484265
479	1.083236619
480	1.080249078
481	1.076812224
482	1.074589738
483	1.071783769
484	1.070078154
485	1.067780149
486	1.065515781
487	1.063333735
488	1.062449753
489	1.060383575
490	1.058946552
491	1.056323146
492	1.052883708
493	1.049787837
494	1.047232269
